mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_train_f1_micro,split1_train_f1_micro,split2_train_f1_micro,split3_train_f1_micro,split4_train_f1_micro,mean_train_f1_micro,std_train_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,feature_group,genre_labels
0.5998971939086915,0.35186264799717615,6.741274785995484,2.353579696625924,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.605427974947808,0.5933194154488518,0.6041753653444677,0.5920668058455115,0.5864661654135338,0.5962911454000346,0.007332789832349863,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4990192299741478,0.49241793217122065,0.48667493798193806,0.4844588329575738,0.48935033598299355,0.49038425381357476,0.005072224034799291,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.010399532318115235,0.0004897269299543555,4.18122124671936,0.4622680335770457,10,1,distance,"{'model__n_neighbors': 10, 'model__p': 1, 'model__weights': 'distance'}",0.5954070981210856,0.5866388308977035,0.5837160751565762,0.5979123173277662,0.5676691729323309,0.5862686988870924,0.010692796101194177,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5087060481305761,0.5177716918819752,0.4922000048670892,0.5277547491259942,0.4875129811912474,0.5067890950393765,0.015154279336093762,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.010599613189697266,0.0012003184252810997,3.8781943321228027,0.6128012133663076,10,2,distance,"{'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.5962421711899791,0.5799582463465554,0.5891440501043841,0.5933194154488518,0.5701754385964912,0.5857678643372524,0.009539507956381624,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5080212075073895,0.5131499250154268,0.5051008325458862,0.5189087876801345,0.49258277034323006,0.5075527046184135,0.008838773698854132,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.5639406204223633,0.47710863778953666,4.8328407287597654,0.8888390989532178,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.5883089770354906,0.5653444676409186,0.5803757828810021,0.5724425887265135,0.5588972431077694,0.573073811878339,0.0104550977518534,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4972806586605543,0.4872346928117125,0.485811046529404,0.4821272727859651,0.48430835724057814,0.48735240560564275,0.005244579988106659,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.9215705871582032,0.0841556042473565,7.427630424499512,0.45257531540190854,10,2,distance,"{'model__n_neighbors': 10, 'model__p': 2, 'model__weights': 'distance'}",0.587473903966597,0.5766179540709813,0.569937369519833,0.5640918580375783,0.564327485380117,0.5724897141950213,0.00877757071396158,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47610826131845246,0.4867174719324174,0.47118043329439596,0.45845733740150046,0.4673305608981826,0.4719588129689898,0.009373925225345924,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.011799192428588868,0.0009795887375007458,3.25793719291687,0.2555264687918351,5,1,distance,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'}",0.5791231732776618,0.5678496868475992,0.577035490605428,0.5670146137787057,0.551796157059315,0.568563824313742,0.00966781972377563,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5029368823618316,0.506839352676645,0.5002887817775628,0.4997536429367754,0.47710157138108056,0.497384046226779,0.010446703520805282,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.1410611629486084,0.019740504363943638,4.317074012756348,0.5901632576393484,4,1,distance,"{'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",0.584133611691023,0.5645093945720251,0.5732776617954071,0.5544885177453027,0.551796157059315,0.5656410685726145,0.011980261748785578,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4979872412389815,0.4900982771754817,0.48884241595685396,0.46837102497719946,0.4829444146266443,0.48564867479503215,0.009879973402095314,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
0.011100959777832032,0.0006643164372201525,3.1111143112182615,0.49761342897820743,5,2,distance,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'}",0.5782881002087683,0.562839248434238,0.5561586638830898,0.5607515657620041,0.5551378446115288,0.5626350845799258,0.0083277710881099,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.49981537304546786,0.4957972074080056,0.4759564270278959,0.486283206470715,0.4833932613487151,0.4882490950601599,0.00859425753372423,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.011199188232421876,0.0007476403446906544,3.5742778301239015,0.9076211597914704,4,2,distance,"{'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",0.5649269311064719,0.554070981210856,0.5599164926931106,0.5453027139874739,0.5446950710108605,0.5537824380017545,0.007954817017213121,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4840073648778354,0.48969038123181113,0.4844709570825298,0.4736222095382662,0.47762526485476975,0.4818832355170425,0.005630890107901108,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.01099853515625,0.0010952356668718353,1.9954794883728026,0.27137868205795246,4,1,distance,"{'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",0.5661795407098121,0.5482254697286012,0.5607515657620041,0.5498956158663884,0.5380116959064327,0.5526127775946478,0.009900706630246198,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4893227698277404,0.4885099179350201,0.4868038750644918,0.48435076433691143,0.468592865048376,0.48351603844250796,0.007653296059724211,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
