mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_train_f1_micro,split1_train_f1_micro,split2_train_f1_micro,split3_train_f1_micro,split4_train_f1_micro,mean_train_f1_micro,std_train_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,feature_group,genre_labels
4.036450386047363,0.21071992649860033,0.3863360404968262,0.17870610707213028,300,{'model__n_estimators': 300},0.6492693110647182,0.6384133611691023,0.6501043841336117,0.6492693110647182,0.6445279866332498,0.6463168708130801,0.004414626492320433,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48311771919812435,0.4845334954574776,0.4820795810116964,0.4718977748254366,0.4838137788507309,0.4810884698686932,0.004666144872844776,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
1.3023506641387939,0.6174793568021147,1.7629039287567139,1.0779811115267024,100,{'model__n_estimators': 100},0.6455114822546972,0.6267223382045929,0.6526096033402923,0.6459290187891441,0.6436925647451963,0.6428930014667846,0.008632680308710252,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4910125149594936,0.47041664959361673,0.49455426025055277,0.476827631476844,0.48994541896344856,0.4845512950487912,0.009277353388600623,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
2.306739091873169,0.03981683387838171,0.21026210784912108,0.0186834075169472,300,{'model__n_estimators': 300},0.6271398747390396,0.6246346555323591,0.621294363256785,0.6346555323590815,0.6215538847117794,0.625855662119809,0.004896703208324519,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5243715055673575,0.5362305950197996,0.5175288972662366,0.5322567975003076,0.5187647847340038,0.525830516017541,0.007354303242400057,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.6560536384582519,0.07188583225804404,0.566069507598877,0.5193477750993597,100,{'model__n_estimators': 100},0.6237995824634656,0.6313152400835073,0.619624217118998,0.6263048016701461,0.6182121971595655,0.6238512076991365,0.00472017917465938,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5229547762139495,0.5483844932626847,0.5177062487882356,0.5208150970736902,0.5170837544807948,0.5253888739638709,0.01169307926126199,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
0.10847563743591308,0.019840530345326134,0.34731550216674806,0.16352949021420524,10,{'model__n_estimators': 10},0.5920668058455115,0.5749478079331941,0.5762004175365344,0.591231732776618,0.570593149540518,0.5810079827264751,0.008889654501024132,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4927843756793376,0.47791781422590685,0.49024321897756706,0.4980474700153624,0.4804077512353168,0.48788012602669806,0.007590715357234058,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,audio,"mpb,sertanejo,gospel,samba,pagode"
4.008575677871704,0.06972888999582515,0.25233917236328124,0.04062974206815629,300,{'model__n_estimators': 300},0.5816283924843424,0.562839248434238,0.5828810020876827,0.577035490605428,0.5701754385964912,0.5749119144416366,0.007500806341851234,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39817007945629307,0.38952560590665974,0.39455365400164755,0.38277928566312186,0.3856478409965569,0.39013529320485585,0.005633817446710647,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
0.18480734825134276,0.060272291160677956,0.1896209716796875,0.2094871470310036,10,{'model__n_estimators': 10},0.5762004175365344,0.55741127348643,0.5695198329853862,0.5670146137787057,0.5856307435254804,0.5711553762625072,0.009420296977617633,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.44982863748336027,0.4387260854397147,0.4295643205784154,0.43189314894951175,0.46530350709921836,0.4430631399100441,0.013162087623236495,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined + audio,"mpb,sertanejo,gospel,samba,pagode"
1.1747003078460694,0.07931419005166923,1.2801857948303224,1.292277849868585,100,{'model__n_estimators': 100},0.5741127348643006,0.5553235908141962,0.5782881002087683,0.569937369519833,0.570593149540518,0.5696509889895232,0.007755654521071143,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.39890461226921403,0.3922850398806817,0.3866331091663152,0.38569047831534875,0.3929298967397984,0.3912886272742716,0.0047896336311594985,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
0.24771580696105958,0.06754911609474964,0.9949571132659912,0.07242354790960083,10,{'model__n_estimators': 10},0.5110647181628393,0.5068893528183716,0.5173277661795407,0.5064718162839248,0.5116959064327485,0.5106899119754849,0.0039357386633337675,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37249620066635014,0.3838079841657967,0.3752541023616328,0.3635765980162944,0.36908974042005915,0.3728449251260266,0.006724845080739833,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,combined,"mpb,sertanejo,gospel,samba,pagode"
2.9030653476715087,0.10741621394696044,0.2643447399139404,0.05450292284116398,300,{'model__n_estimators': 300},0.48893528183716073,0.4997912317327766,0.5068893528183716,0.5014613778705637,0.5016708437761069,0.49974961760699593,0.005908445514000529,1,0.9996868149076104,0.9991648397536277,0.9991648397536277,0.9992692347844243,0.9993736951983299,0.9993318848795241,0.00019362675960902644,0.3213265741215358,0.35150852190048554,0.3267402628239238,0.337249278949003,0.336174617359927,0.334599851030975,0.010328170356419674,1,0.9997381215637293,0.9990787075409621,0.9990451155607524,0.9990141448107333,0.9991212349499939,0.9991994648852343,0.00027166910764081503,statistical,"mpb,sertanejo,gospel,samba,pagode"
