mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__loss,params,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_train_f1_micro,split1_train_f1_micro,split2_train_f1_micro,split3_train_f1_micro,split4_train_f1_micro,mean_train_f1_micro,std_train_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,feature_group,genre_labels
10.748743915557862,0.7292682153307611,0.006018209457397461,0.0015852744774892793,5.0,squared_hinge,"{'model__C': 5.0, 'model__loss': 'squared_hinge'}",0.49905897114178166,0.48713927227101633,0.4887076537013802,0.4814930991217064,0.48651191969887075,0.488582183186951,0.005768915399032689,1,0.4883155583437892,0.4915307402760351,0.4920012547051443,0.49270702634880803,0.4929422835633626,0.4914993726474279,0.0016691292593335675,0.27158048714370525,0.27804293139791125,0.2736821972099055,0.2657805778416614,0.27594530487681884,0.2730062996940004,0.004212036219061474,3,0.27557157607760335,0.2756488146388103,0.2770126111632821,0.2766707458066214,0.278607590798647,0.2767022676969928,0.0011059647103131085,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
16.08080792427063,2.8678058506171844,0.007732963562011719,0.003086346976164905,2.0,squared_hinge,"{'model__C': 2.0, 'model__loss': 'squared_hinge'}",0.49843161856963614,0.4874529485570891,0.4887076537013802,0.48180677540777916,0.48651191969887075,0.488582183186951,0.005449668476909413,1,0.4880803011292346,0.4915307402760351,0.4918444165621079,0.49262860727728985,0.493099121706399,0.49143663739021326,0.0017677544295615398,0.2714774124564102,0.27815943554658196,0.2736931710677636,0.26650780651169725,0.27594530487681884,0.27315662609185437,0.0040029807034293406,1,0.27543857377288755,0.27566639961541417,0.2769208654104036,0.27665671727060104,0.2789727564103543,0.27673106249593216,0.0012546535867066233,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
21.801526689529418,0.5616913418883508,0.011165046691894531,0.00239248044817534,1.0,squared_hinge,"{'model__C': 1.0, 'model__loss': 'squared_hinge'}",0.49843161856963614,0.48651191969887075,0.4887076537013802,0.4814930991217064,0.48713927227101633,0.48845671267252194,0.00554204838779367,3,0.4876882057716437,0.4917659974905897,0.4920796737766625,0.49262860727728985,0.4929422835633626,0.49142095357590965,0.0019109812227947707,0.2714774124564102,0.27769032626754087,0.27380361850720997,0.26641339537187825,0.2762701366223279,0.27313097784507345,0.003973779412735278,2,0.2750811054929231,0.2759383468721347,0.27705270528082415,0.27666582984589,0.27891805265487457,0.2767312080293293,0.0012838529044331358,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
21.225393199920653,0.8235920475170057,0.013722562789916992,0.001356089790375877,0.5,squared_hinge,"{'model__C': 0.5, 'model__loss': 'squared_hinge'}",0.4981179422835634,0.48557089084065247,0.4880803011292346,0.4827478042659975,0.486198243412798,0.4881430363864491,0.0052727481529361835,4,0.48776662484316186,0.49137390213299875,0.4920796737766625,0.4920796737766625,0.49286386449184444,0.491232747804266,0.0017960535504238037,0.27135705549092526,0.27645678004024105,0.27341316293239987,0.2669604425748201,0.27531345658908607,0.27270017952549447,0.0033525564040649573,4,0.27541481289629,0.2755891128929537,0.2766839876945407,0.27624186000596784,0.27866548262067925,0.27651905122208625,0.0011657902328679906,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
17.16862087249756,1.0611277191815105,0.012431049346923828,0.0004965972640324262,0.1,squared_hinge,"{'model__C': 0.1, 'model__loss': 'squared_hinge'}",0.49717691342534504,0.4827478042659975,0.4893350062735257,0.4827478042659975,0.4849435382685069,0.48739021329987453,0.00545255648372415,5,0.488237139272271,0.49098180677540776,0.49239335006273527,0.49137390213299875,0.4929422835633626,0.4911856963613551,0.0016318705429070974,0.2713670534241002,0.27381319567017565,0.27375620919526006,0.26742302158883685,0.2709825807969103,0.2714684121350566,0.002338525841811326,5,0.27557012546790133,0.275409704037907,0.2766121506882717,0.27530583924797564,0.2786260893455393,0.276304781757519,0.0012507369590114509,combined + audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.29454498291015624,0.020905875029100945,0.006643247604370117,0.0018830425825199194,5.0,squared_hinge,"{'model__C': 5.0, 'model__loss': 'squared_hinge'}",0.4535759096612296,0.4366373902132999,0.44698870765370136,0.4300501882057716,0.437892095357591,0.4410288582183187,0.008277726414075657,1,0.4389899623588457,0.4402446675031368,0.4402446675031368,0.4455771643663739,0.44228356336260977,0.4414680050188206,0.002310157169325205,0.2167435192141823,0.2079228871190435,0.2188621612290007,0.1991216273543855,0.2083229493588107,0.21019462885508458,0.0070610118152414185,3,0.2103367165566421,0.20959663746026247,0.20990494629444817,0.21271947812416933,0.21342158440430065,0.21119587256796457,0.0015644398163213535,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.8360104084014892,0.021576212238451943,0.009938287734985351,0.00048735280260906594,1.0,squared_hinge,"{'model__C': 1.0, 'model__loss': 'squared_hinge'}",0.4535759096612296,0.4363237139272271,0.4473023839397742,0.4294228356336261,0.43820577164366376,0.4409661229611041,0.008503809818789594,2,0.43906838143036386,0.44040150564617314,0.4397741530740276,0.4454203262233375,0.4420483061480552,0.4413425345043914,0.002264668926943786,0.21675831470465115,0.20781446344303345,0.21918894216567714,0.1988581921615033,0.209088422209106,0.2103416669367942,0.007201044650791251,2,0.21038167921586665,0.20971598554689797,0.20970915819659908,0.21265076524328613,0.21337103227514662,0.21116572409555925,0.0015431645296764241,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.792812728881836,0.03007422623366684,0.010587358474731445,0.001360269881913405,0.5,squared_hinge,"{'model__C': 0.5, 'model__loss': 'squared_hinge'}",0.45326223337515686,0.4360100376411543,0.44761606022584693,0.4294228356336261,0.4385194479297365,0.4409661229611041,0.008475995276922301,2,0.4396957340025094,0.4402446675031368,0.4396957340025094,0.4453419071518193,0.4420483061480552,0.441405269761606,0.0021495409910930767,0.21665998628773867,0.20767416040640968,0.21930545267399998,0.1988581921615033,0.20923270193306945,0.21034609869254423,0.007217840443576327,1,0.2106909210832968,0.20970306800501598,0.20946205091497502,0.2126190642662476,0.2133707931077197,0.21116917947545102,0.001564721722720978,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.40314836502075196,0.17913727406006305,0.008232784271240235,0.002050046249340524,2.0,squared_hinge,"{'model__C': 2.0, 'model__loss': 'squared_hinge'}",0.4535759096612296,0.4363237139272271,0.44698870765370136,0.4294228356336261,0.437892095357591,0.44084065244667503,0.008478780837147657,4,0.43906838143036386,0.44032308657465496,0.44016624843161856,0.4454987452948557,0.442361982434128,0.44148368883312417,0.0022719346251231973,0.21675831470465115,0.20781446344303345,0.2188621612290007,0.19887236697165694,0.2083229493588107,0.2101260511414306,0.0071490777104889465,4,0.21037745093323723,0.20962673967451959,0.20987132582535803,0.21268846605183728,0.2135049974591509,0.21121379598882065,0.0015776376585864126,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
0.7846906661987305,0.04437890583599002,0.01039433479309082,0.0011846531552592507,0.1,squared_hinge,"{'model__C': 0.1, 'model__loss': 'squared_hinge'}",0.45326223337515686,0.43444165621079045,0.4473023839397742,0.42973651191969886,0.43914680050188204,0.44077791718946047,0.008522302413899927,5,0.4393820577164366,0.44032308657465496,0.43922521957340027,0.44463613550815556,0.44165621079046424,0.4410445420326223,0.0019933875013572696,0.21667395593649172,0.20625109070388187,0.2191592055165478,0.19898382944927429,0.20953835348775715,0.21012128701879057,0.007266121838331926,5,0.21045994426775844,0.2091357657419235,0.20839145311010987,0.21191202547535548,0.21287513290624077,0.21055486430027762,0.001669055503426782,audio,"pop,sertanejo,rock,alternativo,mpb,samba,bossanova,indie,pagode,gospel"
