,precision,recall,f1-score,support
gospel,0.8,0.5841784989858012,0.675263774912075,493.0
mpb,0.678477690288714,0.831858407079646,0.7473798337549693,1243.0
pagode,0.42436974789915966,0.4139344262295082,0.4190871369294606,244.0
samba,0.4129353233830846,0.25,0.31144465290806755,332.0
sertanejo,0.6825633383010432,0.6715542521994134,0.6770140428677014,682.0
accuracy,0.6559786239144957,0.6559786239144957,0.6559786239144957,0.6559786239144957
macro avg,0.5996692199744003,0.5503051168988737,0.5660378882744548,2994.0
weighted avg,0.6492640987310494,0.6559786239144957,0.6443816425521439,2994.0
