,precision,recall,f1-score,support
0,0.7903682719546742,0.565922920892495,0.6595744680851063,493.0
1,0.6354109211252068,0.9267900241351569,0.7539267015706806,1243.0
2,0.6931818181818182,0.25,0.3674698795180723,244.0
3,0.4827586206896552,0.08433734939759036,0.14358974358974358,332.0
4,0.6994134897360704,0.6994134897360704,0.6994134897360704,682.0
accuracy,0.667000668002672,0.667000668002672,0.667000668002672,0.667000668002672
macro avg,0.6602266243374849,0.5052927568322625,0.5247948564999346,2994.0
weighted avg,0.6632864257640667,0.667000668002672,0.6267987803248223,2994.0
